Gen    Eval|     Worst      Best    Median   Average   Std Dev|     Worst      Best    Median   Average   Std Dev|
   0    100|  -0.000000  11.421134  0.000000  0.781146  1.443992|  -0.000000  24.997555  0.000000  0.921141  2.609435|
   1    200|  -0.000000  11.421148  2.072846  1.601620  1.998679|  -0.000000  24.997562  2.084260  2.017622  4.166524|
   2    300|  2.072846  11.421148  2.072846  2.948497  2.666264|  2.084260  24.997562  2.084260  4.185698  6.545938|
   3    400|  2.072846  11.421148  2.367306  4.688499  4.096459|  2.084260  24.997562  2.426730  8.376717  10.109215|
   4    500|  2.367306  11.421163  11.421148  8.797672  4.104993|  2.426730  24.997619  24.997562  18.453906  10.238853|
   5    600|  11.421148  11.421163  11.421148  11.421148  0.000001|  24.997562  24.997619  24.997562  24.997563  0.000006|
   6    700|  11.421148  11.421163  11.421148  11.421148  0.000001|  24.997562  24.997619  24.997562  24.997563  0.000006|
   7    800|  11.421148  11.421163  11.421148  11.421148  0.000001|  24.997562  24.997619  24.997562  24.997563  0.000006|
   8    900|  11.421148  11.421163  11.421148  11.421148  0.000001|  24.997562  24.997619  24.997562  24.997563  0.000006|
   9   1000|  11.421148  11.421163  11.421148  11.421148  0.000001|  24.997562  24.997619  24.997562  24.997563  0.000006|
  10   1100|  11.421148  11.421163  11.421148  11.421148  0.000001|  24.997562  24.997619  24.997562  24.997563  0.000006|
  11   1200|  11.421148  11.421163  11.421148  11.421148  0.000001|  24.997562  24.997619  24.997562  24.997563  0.000006|
  12   1300|  11.421148  13.452881  11.421148  11.441466  0.202155|  14.116865  24.997619  24.997562  24.888756  1.082616|
  13   1400|  11.421148  13.452881  11.421148  11.441466  0.202155|  14.116865  24.997619  24.997562  24.888756  1.082616|
  14   1500|  11.421148  13.452881  11.421148  11.441466  0.202155|  14.116865  24.997619  24.997562  24.888756  1.082616|
  15   1600|  11.421148  13.452881  11.421148  11.441466  0.202155|  14.116865  24.997619  24.997562  24.888756  1.082616|
  16   1700|  11.421148  13.452881  11.421148  11.441466  0.202155|  14.116865  24.997619  24.997562  24.888756  1.082616|
  17   1800|  11.421148  13.452881  11.421148  11.441466  0.202155|  14.116865  24.997619  24.997562  24.888756  1.082616|
  18   1900|  11.421148  13.452881  11.421148  11.441466  0.202155|  14.116865  24.997619  24.997562  24.888756  1.082616|
  19   2000|  11.421148  13.452881  11.421148  11.461783  0.284443|  14.116865  24.997619  24.997562  24.779949  1.523298|
  20   2100|  11.421148  13.452881  11.421148  11.461783  0.284443|  14.116865  24.997619  24.997562  24.779949  1.523298|
  21   2200|  11.421148  13.452881  11.421148  11.461783  0.284443|  14.116865  24.997619  24.997562  24.779949  1.523298|
  22   2300|  11.421148  13.452881  11.421148  11.461783  0.284443|  14.116865  24.997619  24.997562  24.779949  1.523298|
  23   2400|  11.421148  13.452881  11.421148  11.461783  0.284443|  14.116865  24.997619  24.997562  24.779949  1.523298|
  24   2500|  11.421148  13.452881  11.421148  11.502418  0.398137|  14.116865  24.997619  24.997562  24.562335  2.132173|
  25   2600|  11.421148  13.452881  11.421148  11.543053  0.482510|  14.116865  24.997619  24.997562  24.344722  2.584023|
  26   2700|  11.421148  13.452881  11.421148  11.543053  0.482510|  14.116865  24.997619  24.997562  24.344722  2.584023|
  27   2800|  11.421148  13.452881  11.421148  11.563370  0.518390|  14.116865  24.997619  24.997562  24.235916  2.776178|
