Gen    Eval|     Worst      Best    Median   Average   Std Dev|     Worst      Best    Median   Average   Std Dev|
   0    100|  -0.000000  17.572566  0.000000  0.695757  1.942924|  -0.000000  18.584467  0.000000  0.717535  2.050554|
   1    200|  -0.000000  17.572566  2.072846  1.490315  2.566140|  -0.000000  18.584467  2.084260  1.543207  2.725929|
   2    300|  1.459706  17.572566  2.072846  2.746454  2.729858|  1.474187  18.584467  2.084260  2.853748  2.939832|
   3    400|  2.072846  17.572566  2.072846  3.521438  3.813543|  2.084260  24.815408  2.084260  3.860133  4.525107|
   4    500|  2.072846  17.572566  4.230166  6.881926  6.367003|  2.084260  24.815408  5.120181  7.859105  7.410870|
   5    600|  4.230166  19.652730  17.572557  13.069991  5.674636|  5.120181  25.012890  18.584467  15.885955  6.819759|
   6    700|  11.202877  19.652730  17.572566  16.116435  2.655673|  18.584467  25.012890  18.584467  20.379939  2.530294|
   7    800|  11.202877  19.652730  16.126271  15.347642  2.989535|  18.584467  26.415075  20.675531  21.387778  2.725755|
   8    900|  11.401401  19.652730  16.126271  15.449058  3.227191|  18.584467  26.415075  21.072663  21.856244  2.661767|
   9   1000|  11.428138  20.809162  17.562731  15.996613  3.565471|  18.584467  26.415075  21.072663  22.286657  2.509907|
  10   1100|  11.408374  20.809162  19.636021  16.537470  3.846405|  21.072663  26.415075  21.087222  23.039896  2.268357|
  11   1200|  12.046240  20.809162  19.636021  16.960887  3.664427|  21.072663  26.422816  22.728006  23.282668  2.382921|
  12   1300|  12.046240  20.809162  19.636021  17.088967  3.666735|  21.072663  26.422820  22.785501  23.541169  2.143405|
  13   1400|  12.046240  20.809162  19.636021  17.123376  3.993489|  21.072663  26.422820  22.785501  24.069446  1.874616|
  14   1500|  12.046240  20.809162  20.787853  17.382473  4.133570|  22.785501  26.422820  22.796304  24.218569  1.714580|
  15   1600|  12.046254  20.809162  20.787853  17.502355  4.063070|  22.785501  26.422820  22.796304  24.171821  1.685107|
  16   1700|  12.046254  20.809162  20.787853  17.533486  4.011101|  22.785501  26.422820  22.796304  24.162081  1.663075|
  17   1800|  12.046254  20.809162  20.787853  17.626119  3.921981|  22.785501  26.422820  22.796304  24.128064  1.625827|
  18   1900|  12.046254  20.809162  18.137505  17.551031  3.815803|  22.785501  26.422820  24.039872  24.168156  1.580042|
  19   2000|  12.046254  20.809162  20.566593  17.501870  3.928427|  22.785501  26.422820  22.907607  24.181768  1.627256|
  20   2100|  12.046194  20.809162  19.341476  17.312316  3.960504|  22.785501  26.422841  23.479017  24.261622  1.638744|
  21   2200|  12.046194  20.809162  20.566593  17.538568  3.873761|  22.785501  26.422841  22.907607  24.169806  1.603490|
  22   2300|  12.046194  20.809162  20.566593  18.052270  3.679512|  22.785501  26.422841  22.907607  23.957160  1.526150|
  23   2400|  12.046194  20.809162  20.566517  18.107493  3.627746|  22.785501  26.422841  22.907644  23.935995  1.505050|
  24   2500|  12.046194  20.809162  20.566555  18.410394  3.500297|  22.785501  26.422841  22.907626  23.808689  1.453294|
  25   2600|  12.046179  20.809162  20.566517  18.485245  3.441643|  22.785501  26.422841  22.907644  23.778708  1.428848|
  26   2700|  12.046194  20.809162  20.566517  18.539086  3.456586|  22.785501  26.422841  22.907644  23.753435  1.435051|
  27   2800|  12.046194  20.809162  20.566517  18.733123  3.343005|  22.785501  26.422841  22.907644  23.672289  1.388416|
  28   2900|  12.046179  20.809162  20.566517  18.599551  3.392953|  22.785501  26.422841  22.907644  23.729978  1.409035|
  29   3000|  12.046194  20.809162  20.566517  18.684950  3.252870|  22.785501  26.422841  22.907644  23.699529  1.352260|
  30   3100|  12.046194  20.809162  20.566517  18.689805  3.253844|  22.785501  26.422841  22.907644  23.697254  1.352714|
  31   3200|  12.046194  20.809162  20.566517  18.910774  3.130732|  22.785501  26.422841  22.907644  23.603285  1.302727|
  32   3300|  12.046194  20.809162  20.566517  18.820950  3.196423|  22.785501  26.422841  22.907644  23.640796  1.329015|
  33   3400|  12.046194  20.809162  20.566517  18.881223  3.124386|  22.785501  26.422841  22.907644  23.617238  1.300104|
  34   3500|  12.046194  20.809162  20.566517  18.878797  3.122981|  22.785501  26.422841  22.907644  23.618459  1.299379|
  35   3600|  12.046194  20.809162  20.566517  18.878417  3.122655|  22.785501  26.422841  22.907644  23.618658  1.299215|
  36   3700|  12.046194  20.809162  20.566517  19.101378  2.979218|  22.785501  26.422841  22.907644  23.523841  1.240637|
  37   3800|  12.046194  20.809162  20.566517  19.097713  2.977380|  22.785501  26.422841  22.907644  23.525675  1.239703|
  38   3900|  12.046194  20.809162  20.566517  19.095269  2.976132|  22.785501  26.422841  22.907644  23.526900  1.239066|
  39   4000|  12.046194  20.809162  20.566517  19.102054  2.979589|  22.785501  26.422841  22.907644  23.523500  1.240829|
  40   4100|  12.046194  20.809162  20.566517  19.099336  2.978161|  22.785501  26.422841  22.907644  23.524866  1.240094|
