Gen    Eval|     Worst      Best    Median   Average   Std Dev|     Worst      Best    Median   Average   Std Dev|
   0    100|  0.000000  2.072846  0.000000  0.479200  0.871317|  0.000000  2.084260  0.000000  0.482335  0.875994|
   1    200|  0.000000  2.136763  0.001187  0.920027  1.023984|  0.000000  2.157327  0.001207  0.926670  1.028776|
   2    300|  0.000000  2.136763  2.072846  1.530933  0.894217|  0.000000  2.157327  2.084260  1.542926  0.894268|
   3    400|  2.072846  13.452881  2.072846  2.187925  1.132206|  2.084260  14.116865  2.084260  2.206048  1.197126|
   4    500|  2.072846  13.452881  2.072846  2.249304  1.277879|  2.084260  14.116865  2.084260  2.271426  1.353104|
   5    600|  2.072846  13.452881  2.072846  2.310684  1.405890|  2.084260  14.116865  2.084260  2.336803  1.490008|
   6    700|  2.072846  13.452881  2.072846  3.176985  3.113066|  2.084260  14.116865  2.084260  3.254163  3.294864|
   7    800|  2.072846  13.452881  2.072846  4.872055  4.086056|  2.084260  24.997555  2.084260  5.183928  4.712852|
   8    900|  2.072846  13.452881  8.146879  8.928192  3.969297|  2.084260  24.997562  8.548979  9.613228  4.718736|
   9   1000|  8.146879  13.452881  13.452881  12.269776  2.116287|  8.548979  24.997562  14.116865  13.656130  3.618199|
  10   1100|  11.421134  13.452881  13.452881  13.148120  0.725477|  14.116865  24.997562  14.116865  15.748969  3.885184|
  11   1200|  11.421134  13.452881  13.452881  12.985581  0.855023|  14.116865  24.997562  14.116865  16.619425  4.578949|
  12   1300|  11.421134  13.452881  13.452881  12.518280  1.012615|  14.116865  24.997562  14.116865  19.121984  5.422909|
  13   1400|  11.421134  13.452881  11.421148  12.233839  0.995343|  14.116865  24.997562  24.997555  20.645283  5.330430|
  14   1500|  11.421148  13.452881  11.421148  12.152572  0.975232|  14.116865  24.997619  24.997562  21.080513  5.222735|
  15   1600|  11.421148  13.452881  11.421148  12.111938  0.962449|  14.116865  24.997619  24.997562  21.298127  5.154283|
  16   1700|  11.421148  13.452881  11.421148  12.111938  0.962449|  14.116865  24.997619  24.997562  21.298127  5.154283|
  17   1800|  11.421148  13.452881  11.421148  12.071303  0.947755|  14.116865  24.997619  24.997562  21.515741  5.075587|
  18   1900|  11.421148  13.452881  11.421148  12.091621  0.955346|  14.116865  24.997619  24.997562  21.406935  5.116244|
  19   2000|  11.421148  13.452881  11.421148  12.091621  0.955346|  14.116865  24.997619  24.997562  21.406935  5.116244|
  20   2100|  11.421148  13.452881  11.421148  12.091621  0.955346|  14.116865  24.997619  24.997562  21.406935  5.116244|
  21   2200|  11.421148  13.452881  11.421148  12.091621  0.955346|  14.116865  24.997619  24.997562  21.406935  5.116244|
  22   2300|  11.421148  13.452881  11.421148  12.071303  0.947754|  14.116865  24.997619  24.997562  21.515742  5.075588|
  23   2400|  11.421148  13.452881  11.421148  12.111938  0.962449|  14.116865  24.997619  24.997562  21.298129  5.154284|
  24   2500|  11.421148  13.452881  11.421148  12.091621  0.955346|  14.116865  24.997619  24.997562  21.406936  5.116245|
  25   2600|  11.421148  13.452881  11.421148  12.091621  0.955346|  14.116865  24.997619  24.997562  21.406936  5.116245|
  26   2700|  11.421148  13.452881  11.421148  12.091621  0.955346|  14.116865  24.997619  24.997562  21.406937  5.116245|
  27   2800|  11.421148  13.452881  11.421148  12.071304  0.947754|  14.116865  24.997619  24.997562  21.515744  5.075589|
  28   2900|  11.421148  13.452881  11.421148  12.071304  0.947754|  14.116865  24.997619  24.997562  21.515744  5.075589|
  29   3000|  11.421148  13.452881  11.421148  12.030669  0.931056|  14.116865  24.997619  24.997562  21.733358  4.986165|
  30   3100|  11.421148  13.452881  11.421148  12.030669  0.931056|  14.116865  24.997619  24.997562  21.733358  4.986165|
  31   3200|  11.421148  13.452881  11.421148  12.030669  0.931056|  14.116865  24.997619  24.997562  21.733359  4.986165|
  32   3300|  11.421148  13.452881  11.421148  12.030669  0.931056|  14.116865  24.997619  24.997562  21.733359  4.986165|
  33   3400|  11.421148  13.452881  11.421148  12.030669  0.931056|  14.116865  24.997619  24.997562  21.733359  4.986165|
  34   3500|  11.421148  13.452881  11.421148  12.030670  0.931056|  14.116865  24.997619  24.997562  21.733359  4.986166|
  35   3600|  11.421148  13.452881  11.421148  12.030670  0.931056|  14.116865  24.997619  24.997562  21.733359  4.986166|
  36   3700|  11.421148  13.452881  11.421148  12.010352  0.921922|  14.116865  24.997619  24.997562  21.842166  4.937251|
  37   3800|  11.421148  13.452881  11.421148  12.030670  0.931056|  14.116865  24.997619  24.997562  21.733360  4.986166|
  38   3900|  11.421148  13.452881  11.421148  12.010352  0.921922|  14.116865  24.997619  24.997562  21.842167  4.937252|
  39   4000|  11.421148  13.452881  11.421148  12.050987  0.939661|  14.116865  24.997619  24.997562  21.624554  5.032254|
  40   4100|  11.421148  13.452881  11.421148  12.050987  0.939661|  14.116865  24.997619  24.997562  21.624554  5.032254|
  41   4200|  11.421148  13.452881  11.421148  12.050987  0.939661|  14.116865  24.997619  24.997562  21.624554  5.032254|
  42   4300|  11.421148  13.452881  11.421148  12.050987  0.939661|  14.116865  24.997619  24.997562  21.624554  5.032254|
  43   4400|  11.421148  13.452881  11.421148  12.050987  0.939661|  14.116865  24.997619  24.997562  21.624554  5.032254|
  44   4500|  11.421148  13.452881  11.421148  12.050987  0.939661|  14.116865  24.997619  24.997562  21.624554  5.032254|
  45   4600|  11.421148  13.452881  11.421148  12.071305  0.947753|  14.116865  24.997619  24.997562  21.515748  5.075591|
  46   4700|  11.421148  13.452881  11.421148  12.071305  0.947753|  14.116865  24.997619  24.997562  21.515748  5.075591|
  47   4800|  11.421148  13.452881  11.421148  12.071305  0.947753|  14.116865  24.997619  24.997562  21.515748  5.075591|
  48   4900|  11.421148  13.452881  11.421148  12.071305  0.947753|  14.116865  24.997619  24.997562  21.515748  5.075592|
  49   5000|  11.421148  13.452881  11.421163  12.091623  0.955345|  14.116865  24.997619  24.997562  21.406943  5.116250|
  50   5100|  11.421148  13.452881  11.421163  12.091623  0.955345|  14.116865  24.997619  24.997562  21.406944  5.116250|
